date,state,district,enrolments,updates,update_type,age_group,gender,center_type
2022-01,Gujarat,Surat,12000,4500,Address,18-30,Male,Urban
2022-02,Gujarat,Surat,12500,4800,Mobile,18-30,Female,Urban
2022-03,Gujarat,Surat,13000,5000,Biometrics,18-30,Male,Urban
2022-04,Gujarat,Surat,12800,5200,Address,18-30,Female,Urban
2022-05,Gujarat,Surat,13200,5400,Mobile,18-30,Male,Urban
2022-06,Gujarat,Surat,13500,5600,Biometrics,18-30,Female,Urban
2022-07,Gujarat,Surat,13800,5800,Address,18-30,Male,Urban
2022-08,Gujarat,Surat,14200,6000,Mobile,18-30,Female,Urban
2022-09,Gujarat,Surat,14500,6200,Biometrics,18-30,Male,Urban
2022-10,Gujarat,Surat,14800,6400,Address,18-30,Female,Urban
2022-11,Gujarat,Surat,15200,6600,Mobile,18-30,Male,Urban
2022-12,Gujarat,Surat,15500,6800,Biometrics,18-30,Female,Urban
2023-01,Gujarat,Surat,15800,7000,Address,18-30,Male,Urban
2023-02,Gujarat,Surat,16200,7200,Mobile,18-30,Female,Urban
2023-03,Gujarat,Surat,16500,7400,Biometrics,18-30,Male,Urban

2022-01,Gujarat,Ahmedabad,15000,5200,Mobile,31-45,Female,Urban
2022-02,Gujarat,Ahmedabad,15500,5400,Address,31-45,Male,Urban
2022-03,Gujarat,Ahmedabad,16000,5600,Biometrics,31-45,Female,Urban
2022-04,Gujarat,Ahmedabad,15800,5800,Mobile,31-45,Male,Urban
2022-05,Gujarat,Ahmedabad,16200,6000,Address,31-45,Female,Urban
2022-06,Gujarat,Ahmedabad,16500,6200,Biometrics,31-45,Male,Urban
2022-07,Gujarat,Ahmedabad,16800,6400,Mobile,31-45,Female,Urban
2022-08,Gujarat,Ahmedabad,17200,6600,Address,31-45,Male,Urban
2022-09,Gujarat,Ahmedabad,17500,6800,Biometrics,31-45,Female,Urban
2022-10,Gujarat,Ahmedabad,17800,7000,Mobile,31-45,Male,Urban
2022-11,Gujarat,Ahmedabad,18200,7200,Address,31-45,Female,Urban
2022-12,Gujarat,Ahmedabad,18500,7400,Biometrics,31-45,Male,Urban
2023-01,Gujarat,Ahmedabad,18800,7600,Mobile,31-45,Female,Urban
2023-02,Gujarat,Ahmedabad,19200,7800,Address,31-45,Male,Urban
2023-03,Gujarat,Ahmedabad,19500,8000,Biometrics,31-45,Female,Urban

2022-01,Maharashtra,Mumbai,25000,8500,Address,46-60,Male,Urban
2022-02,Maharashtra,Mumbai,25500,8800,Mobile,46-60,Female,Urban
2022-03,Maharashtra,Mumbai,26000,9000,Biometrics,46-60,Male,Urban
2022-04,Maharashtra,Mumbai,25800,9200,Address,46-60,Female,Urban
2022-05,Maharashtra,Mumbai,26200,9400,Mobile,46-60,Male,Urban
2022-06,Maharashtra,Mumbai,26500,9600,Biometrics,46-60,Female,Urban
2022-07,Maharashtra,Mumbai,26800,9800,Address,46-60,Male,Urban
2022-08,Maharashtra,Mumbai,27200,10000,Mobile,46-60,Female,Urban
2022-09,Maharashtra,Mumbai,27500,10200,Biometrics,46-60,Male,Urban
2022-10,Maharashtra,Mumbai,27800,10400,Address,46-60,Female,Urban
2022-11,Maharashtra,Mumbai,28200,10600,Mobile,46-60,Male,Urban
2022-12,Maharashtra,Mumbai,28500,10800,Biometrics,46-60,Female,Urban
2023-01,Maharashtra,Mumbai,28800,11000,Address,46-60,Male,Urban
2023-02,Maharashtra,Mumbai,29200,11200,Mobile,46-60,Female,Urban
2023-03,Maharashtra,Mumbai,29500,11400,Biometrics,46-60,Male,Urban

2022-01,Maharashtra,Pune,18000,6500,Mobile,18-30,Female,Urban
2022-02,Maharashtra,Pune,18500,6700,Address,18-30,Male,Urban
2022-03,Maharashtra,Pune,19000,6900,Biometrics,18-30,Female,Urban
2022-04,Maharashtra,Pune,18800,7100,Mobile,18-30,Male,Urban
2022-05,Maharashtra,Pune,19200,7300,Address,18-30,Female,Urban
2022-06,Maharashtra,Pune,19500,7500,Biometrics,18-30,Male,Urban
2022-07,Maharashtra,Pune,19800,7700,Mobile,18-30,Female,Urban
2022-08,Maharashtra,Pune,20200,7900,Address,18-30,Male,Urban
2022-09,Maharashtra,Pune,20500,8100,Biometrics,18-30,Female,Urban
2022-10,Maharashtra,Pune,20800,8300,Mobile,18-30,Male,Urban
2022-11,Maharashtra,Pune,21200,8500,Address,18-30,Female,Urban
2022-12,Maharashtra,Pune,21500,8700,Biometrics,18-30,Male,Urban
2023-01,Maharashtra,Pune,21800,8900,Mobile,18-30,Female,Urban
2023-02,Maharashtra,Pune,22200,9100,Address,18-30,Male,Urban
2023-03,Maharashtra,Pune,22500,9300,Biometrics,18-30,Female,Urban

2022-01,Rajasthan,Jaipur,14000,5000,Biometrics,31-45,Male,Urban
2022-02,Rajasthan,Jaipur,14500,5200,Address,31-45,Female,Urban
2022-03,Rajasthan,Jaipur,15000,5400,Mobile,31-45,Male,Urban
2022-04,Rajasthan,Jaipur,14800,5600,Biometrics,31-45,Female,Urban
2022-05,Rajasthan,Jaipur,15200,5800,Address,31-45,Male,Urban
2022-06,Rajasthan,Jaipur,15500,6000,Mobile,31-45,Female,Urban
2022-07,Rajasthan,Jaipur,15800,6200,Biometrics,31-45,Male,Urban
2022-08,Rajasthan,Jaipur,16200,6400,Address,31-45,Female,Urban
2022-09,Rajasthan,Jaipur,16500,6600,Mobile,31-45,Male,Urban
2022-10,Rajasthan,Jaipur,16800,6800,Biometrics,31-45,Female,Urban
2022-11,Rajasthan,Jaipur,17200,7000,Address,31-45,Male,Urban
2022-12,Rajasthan,Jaipur,17500,7200,Mobile,31-45,Female,Urban
2023-01,Rajasthan,Jaipur,17800,7400,Biometrics,31-45,Male,Urban
2023-02,Rajasthan,Jaipur,18200,7600,Address,31-45,Female,Urban
2023-03,Rajasthan,Jaipur,18500,7800,Mobile,31-45,Male,Urban

2022-01,Karnataka,Bangalore,20000,7500,Mobile,46-60,Female,Urban
2022-02,Karnataka,Bangalore,20500,7800,Address,46-60,Male,Urban
