date,state,district,enrolments,updates,update_type,age_group,gender,center_type
2022-01-01 00:00:00,Assam,Guwahati,6000,1800,Mobile,61+,Male,Rural
2022-01-01 00:00:00,Gujarat,Ahmedabad,15000,5200,Mobile,31-45,Female,Urban
2022-01-01 00:00:00,Gujarat,Surat,12000,4500,Address,18-30,Male,Urban
2022-01-01 00:00:00,Karnataka,Bangalore,22000,7800,Biometrics,31-45,Female,Urban
2022-01-01 00:00:00,Kerala,Thiruvananthapuram,10000,3500,Mobile,46-60,Male,Urban
2022-01-01 00:00:00,Maharashtra,Mumbai,25000,8500,Address,46-60,Male,Urban
2022-01-01 00:00:00,Maharashtra,Pune,18000,6500,Mobile,18-30,Female,Urban
2022-01-01 00:00:00,Rajasthan,Jaipur,14000,5000,Biometrics,31-45,Male,Urban
2022-02-01 00:00:00,Assam,Guwahati,6500,2000,Address,61+,Female,Rural
2022-02-01 00:00:00,Gujarat,Ahmedabad,15500,5400,Address,31-45,Male,Urban
2022-02-01 00:00:00,Gujarat,Surat,12500,4800,Mobile,18-30,Female,Urban
2022-02-01 00:00:00,Karnataka,Bangalore,22500,8000,Address,31-45,Male,Urban
2022-02-01 00:00:00,Kerala,Thiruvananthapuram,10500,3700,Address,46-60,Female,Urban
2022-02-01 00:00:00,Maharashtra,Mumbai,25500,8800,Mobile,46-60,Female,Urban
2022-02-01 00:00:00,Maharashtra,Pune,18500,6700,Address,18-30,Male,Urban
2022-02-01 00:00:00,Rajasthan,Jaipur,14500,5200,Address,31-45,Female,Urban
2022-03-01 00:00:00,Assam,Guwahati,6800,2100,Biometrics,61+,Male,Rural
2022-03-01 00:00:00,Gujarat,Ahmedabad,16000,5600,Biometrics,31-45,Female,Urban
2022-03-01 00:00:00,Gujarat,Surat,13000,5000,Biometrics,18-30,Male,Urban
2022-03-01 00:00:00,Karnataka,Bangalore,23000,8200,Mobile,31-45,Female,Urban
2022-03-01 00:00:00,Kerala,Thiruvananthapuram,11000,3900,Biometrics,46-60,Male,Urban
2022-03-01 00:00:00,Maharashtra,Mumbai,26000,9000,Biometrics,46-60,Male,Urban
2022-03-01 00:00:00,Maharashtra,Pune,19000,6900,Biometrics,18-30,Female,Urban
2022-03-01 00:00:00,Rajasthan,Jaipur,15000,5400,Mobile,31-45,Male,Urban
2022-04-01 00:00:00,Assam,Guwahati,6780,2200,Mobile,61+,Female,Rural
2022-04-01 00:00:00,Gujarat,Ahmedabad,15800,5800,Mobile,31-45,Male,Urban
2022-04-01 00:00:00,Gujarat,Surat,12800,5200,Address,18-30,Female,Urban
2022-04-01 00:00:00,Karnataka,Bangalore,20800,8200,Mobile,46-60,Male,Urban
2022-04-01 00:00:00,Maharashtra,Mumbai,25800,9200,Address,46-60,Female,Urban
2022-04-01 00:00:00,Maharashtra,Pune,18800,7100,Mobile,18-30,Male,Urban
2022-04-01 00:00:00,Rajasthan,Jaipur,14800,5600,Biometrics,31-45,Female,Urban
2022-05-01 00:00:00,Assam,Guwahati,7020,2300,Address,61+,Male,Rural
2022-05-01 00:00:00,Gujarat,Ahmedabad,16200,6000,Address,31-45,Female,Urban
2022-05-01 00:00:00,Gujarat,Surat,13200,5400,Mobile,18-30,Male,Urban
2022-05-01 00:00:00,Karnataka,Bangalore,21200,8400,Address,46-60,Female,Urban
2022-05-01 00:00:00,Maharashtra,Mumbai,26200,9400,Mobile,46-60,Male,Urban
2022-05-01 00:00:00,Maharashtra,Pune,19200,7300,Address,18-30,Female,Urban
2022-05-01 00:00:00,Rajasthan,Jaipur,15200,5800,Address,31-45,Male,Urban
2022-06-01 00:00:00,Assam,Guwahati,7250,2400,Biometrics,61+,Female,Rural
2022-06-01 00:00:00,Gujarat,Ahmedabad,16500,6200,Biometrics,31-45,Male,Urban
2022-06-01 00:00:00,Gujarat,Surat,13500,5600,Biometrics,18-30,Female,Urban
2022-06-01 00:00:00,Karnataka,Bangalore,21500,8600,Biometrics,46-60,Male,Urban
2022-06-01 00:00:00,Maharashtra,Mumbai,26500,9600,Biometrics,46-60,Female,Urban
2022-06-01 00:00:00,Maharashtra,Pune,19500,7500,Biometrics,18-30,Male,Urban
2022-06-01 00:00:00,Rajasthan,Jaipur,15500,6000,Mobile,31-45,Female,Urban
2022-07-01 00:00:00,Assam,Guwahati,7480,2500,Mobile,61+,Male,Rural
2022-07-01 00:00:00,Gujarat,Ahmedabad,16800,6400,Mobile,31-45,Female,Urban
2022-07-01 00:00:00,Gujarat,Surat,13800,5800,Address,18-30,Male,Urban
2022-07-01 00:00:00,Karnataka,Bangalore,21800,8800,Mobile,46-60,Female,Urban
2022-07-01 00:00:00,Maharashtra,Mumbai,26800,9800,Address,46-60,Male,Urban
2022-07-01 00:00:00,Maharashtra,Pune,19800,7700,Mobile,18-30,Female,Urban
2022-07-01 00:00:00,Rajasthan,Jaipur,15800,6200,Biometrics,31-45,Male,Urban
2022-08-01 00:00:00,Assam,Guwahati,7720,2600,Address,61+,Female,Rural
2022-08-01 00:00:00,Gujarat,Ahmedabad,17200,6600,Address,31-45,Male,Urban
2022-08-01 00:00:00,Gujarat,Surat,14200,6000,Mobile,18-30,Female,Urban
2022-08-01 00:00:00,Karnataka,Bangalore,22200,9000,Address,46-60,Male,Urban
2022-08-01 00:00:00,Maharashtra,Mumbai,27200,10000,Mobile,46-60,Female,Urban
2022-08-01 00:00:00,Maharashtra,Pune,20200,7900,Address,18-30,Male,Urban
2022-08-01 00:00:00,Rajasthan,Jaipur,16200,6400,Address,31-45,Female,Urban
2022-09-01 00:00:00,Assam,Guwahati,7950,2700,Biometrics,61+,Male,Rural
2022-09-01 00:00:00,Gujarat,Ahmedabad,17500,6800,Biometrics,31-45,Female,Urban
